1,4175,2122,5430,4125,5871,5499
2,5818,3230,3243,3562,1622,2594
3,3251,1569,6210,1891,3145,2085
4,3513,3250,5931,5496,3245,4009
5,5461,4206,701,1566,399,5489
6,1622,5499,2122,1891,5931,5818
7,2594,4125,2085,3513,701,3251
8,4206,5489,6210,3245,3562,5496
9,3243,5871,1566,1569,4009,3250
10,4175,3145,3230,5461,5430,399
11,4009,5489,3562,4125,5496,4206
12,1569,4175,3243,1566,3513,2122
13,1622,3251,5871,5430,5499,3250
14,5461,5818,2085,701,3230,5931
15,6210,3145,399,3245,2594,1891
16,5818,3250,1566,3230,5430,4125
17,6210,3245,4009,1622,2085,701
18,5496,2594,5931,5489,3145,1569
19,399,5871,4206,3243,3513,5499
20,1891,3251,2122,3562,4175,5461
21,4206,399,2085,5871,3250,5818
22,4125,6210,3562,5430,1569,5931
23,5461,3513,3145,2122,5489,3243
24,3230,1891,5496,701,3245,4175
25,2594,4009,5499,1566,1622,3251
26,3243,5496,5430,399,5931,3145
27,3250,1891,5499,5489,5461,3251
28,3562,5871,701,2594,3513,4206
29,4175,1622,4009,6210,2122,5818
30,2085,3230,3245,1566,1569,4125
31,5489,5499,5818,4206,701,3243
32,2122,1569,3245,1891,5871,399
33,1566,2085,5430,6210,4175,5496
34,3230,2594,1622,3562,3145,3250
35,3513,3251,4125,5931,5461,4009
36,5489,701,2594,3230,5871,2122
37,4175,4125,3250,5818,4206,5430
38,3145,3245,1566,3562,6210,3513
39,1622,3243,399,2085,3251,5931
40,1569,4009,1891,5499,5461,5496
41,3513,4175,5489,3250,3230,6210
42,3562,5430,2122,2085,701,5499
43,1566,3145,4206,1891,5931,1622
44,4009,399,4125,3251,5818,3245
45,3243,2594,5461,5871,1569,5496
46,6210,5931,5499,4206,4009,3230
47,3251,1566,3250,5871,2594,2122
48,5818,701,1569,5489,5430,3245
49,3562,5461,1891,4175,3243,2085
50,399,5496,3513,4125,3145,1622
51,3230,3562,5461,3251,4206,1569
52,399,3245,3513,5499,1566,4175
53,5871,6210,5931,1891,3243,4125
54,2594,3145,5430,2085,3250,5489
55,5818,1622,5496,4009,2122,701
56,3251,5499,3230,1566,6210,2594
57,2122,3250,4206,5461,4125,3245
58,5430,1891,701,3243,4009,3145
59,2085,4175,5931,3562,5818,399
60,5496,5871,5489,1622,1569,3513
